timestamp,event,mint,symbol,price_usd,size_usd,fee_usd,pnl_usd,insiders,reason
2026-08-27 13:57:08,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (537915 holders > 1500)
2026-08-27 13:58:46,SKIP,5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,PONKE,,,,,6LXutJ,too_crowded (70003 holders > 1500)
2026-08-27 13:59:20,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 13:59:53,SKIP,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,USD1,,,,,6LXutJ,too_crowded (37184 holders > 1500)
2026-08-27 13:59:55,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (537964 holders > 1500)
2026-08-27 14:00:20,SKIP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,,,,,6LXutJ,too_crowded (89924 holders > 1500)
2026-08-27 14:00:45,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538026 holders > 1500)
2026-08-27 14:01:09,SKIP,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,,,,,6LXutJ,too_crowded (82903 holders > 1500)
2026-08-27 14:01:56,SKIP,ApZuxdpzMrbEYTGEzeY9afh5pj9d6qPRJCTgQYiipbKg,CYBERLEEK,,,,,6LXutJ,too_crowded (62768 holders > 1500)
2026-08-27 14:02:20,SKIP,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,,,,,6LXutJ,too_crowded (72175 holders > 1500)
2026-08-27 14:03:30,SKIP,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,,,,,6LXutJ,too_crowded (72174 holders > 1500)
2026-08-27 14:04:39,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 14:05:30,SKIP,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,,,,,6LXutJ,too_crowded (18005 holders > 1500)
2026-08-27 14:07:15,SKIP,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbbtcf,,,,,6LXutJ,no_price
2026-08-27 14:21:27,SKIP,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,ANSEM,,,,,6LXutJ,too_crowded (136731 holders > 1500)
2026-08-27 14:22:16,SKIP,8XW3VWW6metpfyN48JXhNMEaNXHx8RqXHaz5mL6bpump,POT,,,,,6LXutJ,token_too_old (5015m > 120m)
2026-08-27 14:23:28,SKIP,98sMhvDwXj1RQi5c5Mndm3vPe9cBqPrbLaufMXFNMh5g,HYPE,,,,,6LXutJ,too_crowded (29331 holders > 1500)
2026-08-27 14:23:53,SKIP,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,,,,,6LXutJ,too_crowded (2305507 holders > 1500)
2026-08-27 14:24:19,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538228 holders > 1500)
2026-08-27 14:28:14,SKIP,5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC,PONKE,,,,,6LXutJ,too_crowded (70008 holders > 1500)
2026-08-27 14:28:16,SKIP,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,,,,,6LXutJ,too_crowded (538284 holders > 1500)
2026-08-27 14:28:42,SKIP,98sMhvDwXj1RQi5c5Mndm3vPe9cBqPrbLaufMXFNMh5g,HYPE,,,,,6LXutJ,too_crowded (29339 holders > 1500)
2026-08-27 14:31:30,SKIP,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Fartcoin,,,,,6LXutJ,too_crowded (170523 holders > 1500)
2026-08-27 14:31:33,SKIP,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,KMNO,,,,,6LXutJ,too_crowded (54266 holders > 1500)
